filename,width,height,class,xmin,ymin,xmax,ymax
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/24.png,2340,1080,table,476,566,1859,632
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/25.png,2340,1080,table,469,564,1853,631
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/26.png,2159,1080,table,481,510,1675,649
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/27.png,2244,1080,table,504,536,1776,616
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/28.png,2141,1080,table,576,541,1713,623
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/29.png,2141,1080,table,455,557,1665,619
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/30.png,2340,1080,table,408,570,1926,635
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/31.png,2340,1080,table,421,565,1942,635
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/32.png,2340,1080,table,407,563,1910,642
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/33.png,2118,1080,table,491,530,1625,592
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/34.png,2118,1080,table,456,544,1594,605
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/35.png,2118,1080,table,456,543,1592,604
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/36.png,2118,1080,table,455,543,1593,603
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/37.png,2129,1080,table,216,549,1927,675
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/38.png,2129,1080,table,131,523,1979,674
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/39.png,2179,1080,table,510,530,1669,610
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/40.png,2179,1080,table,511,530,1670,611
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/41.png,2179,1080,table,510,531,1669,611
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/42.png,2179,1080,table,458,557,1727,763
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/43.png,2179,1080,table,416,550,1784,632
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/44.png,2131,1080,table,534,553,1601,615
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/45.png,2131,1080,table,529,543,1619,605
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/46.png,2131,1080,table,512,537,1609,599
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/47.png,2179,1080,table,542,567,1628,622
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/48.png,2179,1080,table,542,567,1631,622
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/49.png,2179,1080,table,542,567,1630,622
/root/mis/SSD-Mobilenet-Custom-Object-Detector-Model-using-Tensorflow-2/images/train/50.png,2179,1080,table,541,568,1629,622
